 { 1 , 1 } -> 1.000 + 0.000 I,
 { 1 , 6 } -> 1.000 + 0.000 I,
 { 1 , 11 } -> 1.000 + 0.000 I,
 { 1 , 16 } -> 1.000 + 0.000 I,
 { 2 , 2 } -> 1.000 + 0.000 I,
 { 2 , 5 } -> 1.000 + 0.000 I,
 { 2 , 12 } -> 0.000 + 1.000 I,
 { 2 , 15 } -> 0.000 + -1.000 I,
 { 3 , 3 } -> 1.000 + 0.000 I,
 { 3 , 8 } -> 0.000 + -1.000 I,
 { 3 , 9 } -> 1.000 + 0.000 I,
 { 3 , 14 } -> 0.000 + 1.000 I,
 { 4 , 4 } -> 1.000 + 0.000 I,
 { 4 , 7 } -> 0.000 + 1.000 I,
 { 4 , 10 } -> 0.000 + -1.000 I,
 { 4 , 13 } -> 1.000 + 0.000 I,
 { 5 , 2 } -> 1.000 + 0.000 I,
 { 5 , 5 } -> 1.000 + 0.000 I,
 { 5 , 12 } -> 0.000 + -1.000 I,
 { 5 , 15 } -> 0.000 + 1.000 I,
 { 6 , 1 } -> 1.000 + 0.000 I,
 { 6 , 6 } -> 1.000 + 0.000 I,
 { 6 , 11 } -> -1.000 + 0.000 I,
 { 6 , 16 } -> -1.000 + 0.000 I,
 { 7 , 4 } -> 0.000 + -1.000 I,
 { 7 , 7 } -> 1.000 + 0.000 I,
 { 7 , 10 } -> 1.000 + 0.000 I,
 { 7 , 13 } -> 0.000 + 1.000 I,
 { 8 , 3 } -> 0.000 + 1.000 I,
 { 8 , 8 } -> 1.000 + 0.000 I,
 { 8 , 9 } -> 0.000 + -1.000 I,
 { 8 , 14 } -> 1.000 + 0.000 I,
 { 9 , 3 } -> 1.000 + 0.000 I,
 { 9 , 8 } -> 0.000 + 1.000 I,
 { 9 , 9 } -> 1.000 + 0.000 I,
 { 9 , 14 } -> 0.000 + -1.000 I,
 { 10 , 4 } -> 0.000 + 1.000 I,
 { 10 , 7 } -> 1.000 + 0.000 I,
 { 10 , 10 } -> 1.000 + 0.000 I,
 { 10 , 13 } -> 0.000 + -1.000 I,
 { 11 , 1 } -> 1.000 + 0.000 I,
 { 11 , 6 } -> -1.000 + 0.000 I,
 { 11 , 11 } -> 1.000 + 0.000 I,
 { 11 , 16 } -> -1.000 + 0.000 I,
 { 12 , 2 } -> 0.000 + -1.000 I,
 { 12 , 5 } -> 0.000 + 1.000 I,
 { 12 , 12 } -> 1.000 + 0.000 I,
 { 12 , 15 } -> 1.000 + 0.000 I,
 { 13 , 4 } -> 1.000 + 0.000 I,
 { 13 , 7 } -> 0.000 + -1.000 I,
 { 13 , 10 } -> 0.000 + 1.000 I,
 { 13 , 13 } -> 1.000 + 0.000 I,
 { 14 , 3 } -> 0.000 + -1.000 I,
 { 14 , 8 } -> 1.000 + 0.000 I,
 { 14 , 9 } -> 0.000 + 1.000 I,
 { 14 , 14 } -> 1.000 + 0.000 I,
 { 15 , 2 } -> 0.000 + 1.000 I,
 { 15 , 5 } -> 0.000 + -1.000 I,
 { 15 , 12 } -> 1.000 + 0.000 I,
 { 15 , 15 } -> 1.000 + 0.000 I,
 { 16 , 1 } -> 1.000 + 0.000 I,
 { 16 , 6 } -> -1.000 + 0.000 I,
 { 16 , 11 } -> -1.000 + 0.000 I,
 { 16 , 16 } -> 1.000 + 0.000 I,
