26
10
 { 1 , 1 } -> 700.060 + 0.000 I,
 { 1 , 2 } -> -50.000 + 0.000 I,
 { 1 , 9 } -> -50.000 + 0.000 I,
 { 2 , 2 } -> 700.000 + 0.000 I,
 { 2 , 3 } -> -200.000 + 0.000 I,
 { 2 , 4 } -> -200.000 + 0.000 I,
 { 2 , 6 } -> -200.000 + 0.000 I,
 { 2 , 10 } -> -50.000 + 0.000 I,
 { 3 , 3 } -> 700.000 + 0.000 I,
 { 3 , 5 } -> -200.000 + 0.000 I,
 { 3 , 7 } -> -200.000 + 0.000 I,
 { 4 , 4 } -> 700.000 + 0.000 I,
 { 4 , 5 } -> -200.000 + 0.000 I,
 { 4 , 8 } -> -200.000 + 0.000 I,
 { 5 , 5 } -> 700.000 + 0.000 I,
 { 5 , 9 } -> -200.000 + 0.000 I,
 { 6 , 6 } -> 700.000 + 0.000 I,
 { 6 , 7 } -> -200.000 + 0.000 I,
 { 6 , 8 } -> -200.000 + 0.000 I,
 { 7 , 7 } -> 700.000 + 0.000 I,
 { 7 , 9 } -> -200.000 + 0.000 I,
 { 8 , 8 } -> 700.000 + 0.000 I,
 { 8 , 9 } -> -200.000 + 0.000 I,
 { 9 , 9 } -> 700.000 + 0.000 I,
 { 9 , 10 } -> -50.000 + 0.000 I,
 { 10 , 10 } -> 700.060 + 0.000 I,
